MOF_no,ethane_avg(mol/kg),ethylene_avg(mol/kg),C2H6/C2H4 Selectivity (1Bar),TSN,oms,Df,AV_Volume_fraction_1.9,channel_dimentionality
ddmof_8720,0.124695,0.679828,1.65079255341057,0.02714516643004,5,9.68329,0.4123,3
ddmof_8721,0.177428,0.783008,2.03938146225837,0.054913694055755,8,4.13348,0.08778,2
ddmof_8722,0.105945,0.497915,1.9149955313658,0.029894263850364,6,3.65724,0.11372,0
ddmof_8723,0.154889,0.787838,1.76940056204448,0.03838554623374,10,8.83666,0.25116,3
ddmof_8724,0.12944,0.722697,1.61196185953449,0.026840000366499,5,9.69212,0.4771,3
ddmof_8725,0.109198,0.554747,1.77158596621523,0.027120658935876,4,5.92254,0.2186,3
ddmof_8726,0.16298,0.845327,1.73521016127487,0.039009602359087,5,4.96367,0.19022,3
ddmof_8727,0.189978,0.961307,1.77862222994319,0.04751040419871,4,6.52086,0.3227,3
ddmof_8728,0.16045,0.846749,1.70540502557428,0.037196728544341,3,7.79678,0.35856,3
ddmof_8729,0.153232,0.687273,2.00660872753622,0.046346963961148,3,3.45013,0,0
ddmof_873,0.045326,0.273867,1.48953324058758,0.00784367333903,32,13.37101,0.6498,3
ddmof_8730,0.139511,0.698695,1.79706309620077,0.035514384142034,7,6.61184,0.25724,3
ddmof_8731,0.205562,1.015703,1.82145568143443,0.053532170044471,3,7.22214,0.34256,3
ddmof_8732,0.215849,1.084803,1.79077768037146,0.054618792043034,7,6.51548,0.2561,3
ddmof_8733,0.22006,1.070839,1.84952173015738,0.058769099978429,4,6.01768,0.25508,3
ddmof_8734,0.11495,0.552367,1.87293954924896,0.031326606254503,6,5.24945,0.17226,3
ddmof_8735,0.25386,1.103023,2.07134393389802,0.080283787757833,1,8.12001,0.40356,3
ddmof_8736,0.082293,0.430981,1.71849107037201,0.019350975096329,8,4.37136,0.11716,2
ddmof_8737,0.113655,0.569586,1.79585699086705,0.028899255703018,6,6.45101,0.25594,3
ddmof_8738,0.166759,0.836667,1.7938211976808,0.042319957573393,9,6.23364,0.31088,3
ddmof_8739,0.116012,0.629465,1.65872288371871,0.025496402287623,7,11.06847,0.44732,3
ddmof_874,0.095944,0.514808,1.67731659181676,0.021550465684544,17,6.02643,0.20708,3
ddmof_8740,0.094748,0.509911,1.67231536483818,0.021158950916507,3,7.01414,0.33188,3
ddmof_8741,0.102388,0.61564,1.49680332661945,0.017934767368914,5,13.05918,0.6289,3
ddmof_8742,0.235989,1.177392,1.80390303314444,0.060463494212529,4,5.38992,0.19938,3
ddmof_8743,0.121788,0.539745,2.03075896951338,0.037469098797411,6,3.13344,0,0
ddmof_8744,0.192351,0.872084,1.98508285899065,0.057278019045345,4,3.83523,0.05762,2
ddmof_8745,0.119666,0.589831,1.82593658183446,0.031290946532514,5,4.00104,0.072,2
ddmof_8746,0.113039,0.555434,1.83163256120439,0.029710984860793,2,5.46581,0.16044,3
ddmof_8747,0.167143,0.762969,1.97162270026698,0.049277736034477,4,3.90891,0.07474,1
ddmof_8748,0.191967,0.952215,1.81440430995101,0.049668402993151,1,7.37443,0.35082,3
ddmof_8749,0.131297,0.69094,1.71023967348829,0.03059968188461,4,7.97562,0.4237,3
ddmof_875,0.102329,0.559514,1.6460017086257,0.022147094295485,23,8.98668,0.33958,3
ddmof_8750,0.090763,0.476892,1.71289725975693,0.021214155306582,10,3.90179,0.03102,1
ddmof_8751,0.167754,0.898752,1.67986941892758,0.037790870266693,12,6.68915,0.2854,3
ddmof_8752,0.096914,0.520924,1.67438244350424,0.021694650676465,2,11.29886,0.26256,3
ddmof_8753,0.095413,0.461491,1.86074484659506,0.025731629021339,6,6.90183,0.32936,3
ddmof_8754,0.208688,1.028081,1.82689107181244,0.054616290204766,6,5.00059,0.16436,3
ddmof_8755,0.21748,0.984071,1.9890028260156,0.064947226830993,2,6.53429,0.251,3
ddmof_8756,0.304559,1.44022,1.90320298287762,0.085119705524102,5,5.39615,0.14116,3
ddmof_8757,0.202273,0.901787,2.01872171588191,0.061708729753714,9,4.67758,0.13814,3
ddmof_8758,0.129746,0.675739,1.72805476670726,0.030822135696294,7,5.34542,0.23596,3
ddmof_8759,0.314351,1.495103,1.89228367543908,0.087070902399419,4,4.88932,0.11432,3
ddmof_876,0.083428,0.398345,1.88492889329601,0.02296730889125,21,7.79372,0.38938,3
ddmof_8760,0.154136,0.825119,1.6812411300673,0.034777706618869,5,6.42822,0.20164,2
ddmof_8761,0.131259,0.766582,1.54103670579273,0.024652144369282,5,11.46797,0.49068,3
ddmof_8762,0.283323,1.353601,1.88379515086056,0.077923365797489,5,7.64832,0.192,3
ddmof_8763,0.137401,0.786061,1.57317180218838,0.027037240258235,6,8.00722,0.39552,3
ddmof_8764,0.083871,0.473694,1.59351606733461,0.01697183754949,2,8.42995,0.39118,3
ddmof_8765,0.125571,0.708052,1.59612429595566,0.025499289641664,5,7.97517,0.44056,3
ddmof_8766,0.09934,0.577979,1.54687281025781,0.018820420543143,10,7.17356,0.34444,3
ddmof_8767,0.154677,0.701676,1.98395413267662,0.046021299533994,7,4.03426,0.06962,2
ddmof_8768,0.125377,0.676113,1.66894143434603,0.027888997406403,4,6.82042,0.33178,3
ddmof_8769,0.155879,0.880529,1.59325927936502,0.031532210560731,4,9.2508,0.47788,3
ddmof_877,0.149835,0.751823,1.79366020991643,0.038019158967212,13,8.2366,0.39826,3
ddmof_8770,0.102171,0.436548,2.10638692652354,0.033056216386927,8,5.60495,0.1406,3
ddmof_8771,0.179622,0.893397,1.80949566654018,0.046263001775119,6,4.63344,0.15374,3
ddmof_8772,0.171277,0.833413,1.84961477682734,0.045744881489492,3,4.50265,0.14638,3
ddmof_8773,0.09848,0.489744,1.80976183475448,0.025370557966953,6,14.17858,0.68004,3
ddmof_8774,0.162557,0.909852,1.60796810909906,0.033531840370027,7,8.74757,0.43286,3
ddmof_8775,0.103928,0.468453,1.99668269815755,0.031210519432844,7,3.92324,0.05976,1
ddmof_8776,0.102401,0.589869,1.5623960574297,0.019844405951329,3,10.79889,0.54686,3
ddmof_8777,0.07762,0.331532,2.1071269138424,0.025124871690007,3,3.00051,0,0
ddmof_8778,0.105633,0.583443,1.6294599472442,0.022398811085278,4,9.79359,0.49592,3
ddmof_8779,0.250219,1.189539,1.89314600025724,0.069356730379198,6,4.67779,0.127,2
ddmof_878,0.039028,0.246827,1.42306959935501,0.005980109832418,18,8.58222,0.48196,3
ddmof_8780,0.129139,0.795257,1.46147849060115,0.021281129357549,7,12.24089,0.54134,3
ddmof_8781,0.184356,0.947173,1.75174334572459,0.044885243153127,7,4.82075,0.16686,2
ddmof_8782,0.154941,0.711058,1.96111850228814,0.045320837021292,2,6.68559,0.27932,3
ddmof_8783,0.089213,0.47805,1.67956699090053,0.020090529464907,2,7.9539,0.34592,3
ddmof_8784,0.216306,0.980058,1.98636611302596,0.064472014435375,6,4.77994,0.07658,1
ddmof_8785,0.108024,0.574322,1.69280647441679,0.02469507620548,6,8.13057,0.31672,3
ddmof_8786,0.208243,1.1456,1.63598725558659,0.044518171084066,10,9.66301,0.4634,3
ddmof_8787,0.076487,0.433412,1.5882878185191,0.015368472107505,6,7.54734,0.3292,3
ddmof_8788,0.190402,0.83868,2.04323222206324,0.059085116210249,4,4.36173,0.09068,2
ddmof_8789,0.104212,0.518139,1.81014747008042,0.026856886954621,6,7.69695,0.32928,3
ddmof_879,0.067761,0.357342,1.70662558557348,0.015729920110595,21,8.26682,0.43054,3
ddmof_8790,0.128257,0.68925,1.67473775843308,0.028722746264214,14,6.773,0.33772,3
ddmof_8791,0.20263,1.008492,1.80831379921705,0.052131389365866,5,7.32467,0.32706,3
ddmof_8792,0.094999,0.531671,1.60812043538203,0.019600057909319,5,8.54087,0.45678,3
ddmof_8793,0.116462,0.526371,1.99129131354121,0.034837836991223,1,21.48264,0.65184,3
ddmof_8794,0.118637,0.574773,1.8576603285123,0.031909355712427,5,9.72694,0.48616,3
ddmof_8795,0.172496,0.886106,1.75200709621648,0.042008961857316,9,5.49015,0.19846,3
