MOF_no,propane_avg(mol/kg),propylene_avg(mol/kg),C3H8/C3H6 Selectivity (1Bar),TSN,oms,Df,AV_Volume_fraction_1.9,channel_dimentionality
ddmof_3365,0.351842,1.41798,1.40606449550299,0.052074460362789,4,8.09701,0.3061,3
ddmof_3366,0.276605,1.168118,1.34184075010687,0.035322728673036,4,13.11608,0.61258,3
ddmof_3367,0.252474,1.083201,1.32079457090605,0.030507765245977,8,8.76218,0.47684,3
ddmof_3368,0.663495,2.618337,1.43595152190112,0.104261457175619,4,9.56088,0.35496,3
ddmof_3369,0.388533,1.6819,1.30904750579702,0.045441035356616,4,8.97032,0.34954,3
ddmof_337,0.485779,2.05895,1.33696673870986,0.061266740377059,20,7.86232,0.38028,3
ddmof_3370,0.384322,1.459808,1.49185691999679,0.066767174625065,4,12.02108,0.4242,3
ddmof_3371,0.640104,2.678494,1.35421471916682,0.084293714639225,4,10.01721,0.43308,3
ddmof_3372,0.562761,2.369239,1.34599295385565,0.072620247519413,4,5.7363,0.1098,2
ddmof_3373,0.347825,1.37126,1.43737025314917,0.05480631664151,4,5.6079,0.17362,2
ddmof_3374,0.357062,1.471281,1.37523106281759,0.049408694677269,4,7.00003,0.23682,3
ddmof_3375,0.306776,1.145818,1.51716706609019,0.055536704368882,4,9.24331,0.34292,3
ddmof_3376,0.265621,1.118956,1.34516966410356,0.034205892692924,8,10.72578,0.60908,3
ddmof_3377,0.391013,1.596684,1.38771374506999,0.055641106859038,4,7.72037,0.36928,3
ddmof_3378,1.261539,4.994566,1.43129973655369,0.196460214470951,4,7.4994,0.3618,3
ddmof_3379,0.274875,1.130347,1.37800604593103,0.03827665244029,4,9.23423,0.3932,3
ddmof_338,0.394669,1.683266,1.32864185854563,0.048705284587777,21,5.50005,0.14816,3
ddmof_3380,0.567646,2.383706,1.34943682931816,0.073880579451137,4,6.72906,0.33112,3
ddmof_3381,0.376836,1.496506,1.42692645402023,0.058184077376016,4,9.17366,0.4788,3
ddmof_3382,0.776953,3.206324,1.37314060171919,0.106998089214147,8,7.45283,0.29728,3
ddmof_3383,0.351102,1.428737,1.39254320424263,0.050491514542157,4,8.79961,0.29522,3
ddmof_3384,0.801521,3.257391,1.39435282203866,0.115717734835268,4,9.6116,0.46154,3
ddmof_3385,0.243876,0.978255,1.41268278720783,0.036592289928231,4,11.60517,0.41874,3
ddmof_3386,0.266901,1.056104,1.43209286206661,0.04162886394136,2,11.84464,0.35488,3
ddmof_3387,0.197543,0.83064,1.3476479983306,0.025596924727347,4,5.67875,0.15636,3
ddmof_3388,0.240537,0.789075,1.72739346703419,0.057101384578812,4,8.01237,0.35104,3
ddmof_3389,0.815255,3.414228,1.35309602444047,0.107066312496163,4,10.49653,0.48216,3
ddmof_339,0.457805,1.917578,1.35286717585065,0.060089268418844,19,7.94323,0.37,3
ddmof_3390,0.240373,1.024892,1.32903141664357,0.029694537985654,4,9.60432,0.4459,3
ddmof_3391,0.363222,1.568155,1.31253479407329,0.04290045006808,4,5.31668,0.11904,3
ddmof_3392,0.588109,2.379996,1.40026187719083,0.085986984685635,4,10.98938,0.4408,3
